ram_gb,storage_gb,age_years,screen_in,cpu_score,battery_health,listing_views,price
8,128,5,16.6,13344,76,751,1401.5
16,1024,3,13.8,17590,87,783,2005.75
16,128,6,14.8,13533,65,540,1393.28
16,128,4,15.4,12372,83,567,1464.69
16,256,0,15.2,24634,96,834,2446.43
16,128,6,16.0,7081,74,553,1034.29
16,256,4,15.8,15785,76,404,1690.98
8,512,5,17.3,13536,80,680,1490.68
16,256,4,17.3,12951,86,533,1619.77
8,128,4,15.2,14732,79,758,1449.23
16,128,0,13.4,20132,95,474,2156.33
32,256,4,16.1,11585,73,782,1689.23
4,128,6,17.2,10139,72,45,1045.38
16,512,2,14.4,15088,89,37,1790.6
4,256,4,15.0,15768,76,93,1503.71
16,256,0,14.8,18550,100,502,2181.03
4,256,2,13.2,20536,89,639,1848.68
32,256,3,15.9,13056,82,198,1787.46
4,128,7,14.5,7701,66,144,751.14
32,128,1,16.4,18326,100,775,2358.64
16,1024,2,16.6,22375,93,676,2446.82
16,128,3,16.5,17591,86,585,1856.42
16,512,7,14.8,8765,71,442,1207.85
16,256,6,14.4,12696,68,381,1389.94
32,256,0,16.2,15678,100,23,2273.79
8,256,1,16.4,20071,96,173,2038.84
16,512,6,15.1,17193,71,807,1782.65
4,512,0,16.8,22397,100,308,2209.77
16,256,6,13.6,11404,70,635,1325.65
8,256,2,16.8,20044,93,634,1938.95
16,256,7,13.4,12087,71,281,1261.96
16,256,2,13.7,12408,79,187,1626.15
8,512,3,15.3,11553,91,624,1445.43
16,256,5,13.3,13631,65,88,1481.66
16,256,1,13.2,18055,93,447,1982.65
16,1024,4,13.0,18736,86,799,2028.7
8,128,4,14.9,13854,81,641,1399.48
16,256,6,16.3,5396,67,688,1009.8
32,512,7,13.1,5596,64,79,1246.17
4,256,5,15.8,4751,82,183,713.2
4,128,3,16.5,15898,79,251,1499.27
4,128,3,13.7,16035,91,266,1589.79
16,1024,3,13.6,15327,86,178,1891.27
8,128,6,16.7,14437,68,875,1254.6
16,256,2,16.5,21996,89,152,2272.48
16,128,1,15.3,19689,91,638,2090.24
8,128,2,16.5,11996,94,530,1432.96
32,512,0,13.4,23852,100,551,2731.06
16,256,0,14.7,23666,93,197,2420.65
8,512,0,16.2,22928,98,280,2264.4
8,512,6,14.1,14144,70,547,1425.77
8,512,5,16.2,9506,83,272,1232.45
8,128,5,15.2,19026,72,626,1650.75
4,1024,3,16.2,13722,93,40,1645.54
32,512,5,15.0,15248,77,70,1947.88
8,256,1,14.6,15138,91,656,1711.31
8,512,7,13.9,6609,66,556,833.73
16,1024,4,13.9,19349,79,43,2013.86
16,256,7,16.2,8617,63,809,1112.0
32,1024,1,13.5,22720,96,9,2775.45
16,256,3,13.4,17311,82,860,1831.67
8,512,5,13.8,12685,69,657,1347.01
8,1024,3,13.8,20692,85,889,2064.3
32,256,3,16.5,15890,79,854,2074.9
16,512,1,14.7,14858,92,285,1863.06
32,256,3,17.3,14190,83,682,1943.52
4,512,1,13.6,21854,92,193,2042.96
32,512,2,15.8,19587,99,427,2506.65
16,256,5,14.9,8299,78,219,1118.34
4,256,5,14.7,10827,78,440,1141.01
16,256,4,16.8,13055,75,785,1464.74
16,128,2,17.2,17304,88,395,1884.31
4,128,7,16.8,5272,69,87,646.57
8,256,0,13.8,20115,96,295,1935.1
16,128,2,13.9,16214,95,708,1820.2
8,256,0,15.8,24315,95,471,2276.3
8,512,2,14.2,20827,90,506,1938.05
8,512,7,16.2,8963,66,390,1070.76
8,512,2,15.4,17224,92,267,1883.64
32,256,7,15.4,9820,66,540,1506.6
16,1024,3,16.6,14150,85,571,1876.56
4,512,5,16.1,9560,77,808,1124.64
32,128,3,13.1,13779,84,557,1912.07
32,128,2,13.2,16496,93,895,2162.46
8,512,6,15.6,7710,74,744,1069.14
16,256,7,15.1,9886,68,75,1127.7
4,512,2,14.1,20589,89,355,1939.59
32,1024,6,14.8,6439,76,349,1521.52
16,128,2,16.3,18475,90,7,1881.72
16,128,5,16.6,12340,76,166,1431.37
4,1024,6,15.4,12225,73,687,1436.22
32,512,3,14.7,16561,93,320,2193.66
4,128,5,14.2,8639,72,137,992.68
8,1024,2,15.2,14613,94,262,1808.5
4,1024,0,14.4,22088,92,250,2249.15
16,512,0,15.4,25086,100,161,2571.21
8,512,3,15.9,9957,93,95,1321.59
32,256,7,13.3,10437,70,688,1432.27
16,128,1,13.0,23769,96,742,2345.79
4,512,3,13.9,16141,84,449,1657.15
4,256,5,16.8,14651,78,555,1336.02
4,512,1,15.8,18091,94,827,1900.78
16,512,5,13.7,12642,74,759,1482.44
16,128,2,16.8,13537,90,34,1677.41
8,512,6,15.0,4167,74,857,822.43
16,256,4,15.0,17628,79,64,1836.45
4,1024,4,17.0,11845,79,28,1453.01
16,256,1,13.3,18833,90,365,2072.99
32,512,3,13.9,12441,88,672,1908.64
16,512,6,15.5,6970,75,76,1150.17
16,256,0,13.8,21478,100,267,2222.95
16,512,6,15.9,9011,77,240,1344.81
4,512,3,13.9,17734,87,360,1725.63
8,512,5,13.4,14358,79,887,1484.8
4,512,5,13.9,13963,79,301,1302.25
16,1024,3,14.8,17316,86,192,2000.65
16,256,2,13.8,23133,89,114,2282.1
16,512,5,13.6,9797,86,182,1361.5
32,128,1,16.7,20035,94,124,2320.95
8,512,4,14.4,18198,79,518,1785.21
16,512,0,14.6,25794,100,381,2567.09
8,256,5,13.2,8735,79,450,1108.95
8,128,5,14.5,12063,72,749,1211.27
16,1024,0,14.1,26074,100,524,2735.83
32,256,6,15.6,12724,73,143,1736.8
16,512,3,13.9,17186,82,342,1839.06
4,128,6,16.8,10547,78,284,1012.71
16,1024,0,17.0,20849,100,744,2441.08
4,256,1,13.4,21065,90,279,1968.79
32,256,3,13.5,15843,94,129,1996.34
16,1024,1,13.5,20072,98,663,2242.6
8,1024,2,15.7,18636,91,388,2072.51
4,256,5,13.5,10966,84,90,1108.84
8,256,1,16.7,21796,96,622,2093.47
32,512,5,16.2,21743,77,193,2284.71
8,1024,0,16.5,16669,97,782,2011.98
16,256,1,15.3,21172,98,750,2204.62
16,512,4,17.3,12519,84,335,1633.96
16,512,6,13.2,12932,73,502,1418.47
4,512,1,14.7,20340,92,513,2044.1
32,512,2,14.4,20686,92,589,2426.58
8,512,7,17.1,12927,68,66,1264.5
16,128,7,15.5,9977,63,295,1190.11
16,1024,4,16.5,18196,76,157,2040.22
16,1024,3,13.7,9567,89,629,1542.34
32,512,2,17.2,23171,81,66,2597.45
4,128,4,15.1,15925,83,467,1513.82
16,256,4,15.1,18034,80,656,1883.89
8,512,2,17.2,14740,96,853,1678.13
8,128,0,14.6,19508,98,262,1963.98
4,1024,1,14.7,20638,98,12,2145.29
4,256,7,15.5,9349,67,652,879.49
8,512,3,13.6,17449,87,6,1755.91
8,1024,3,14.4,19854,89,64,2046.25
8,256,3,13.8,11304,85,891,1367.45
16,256,6,13.4,14121,77,776,1519.36
16,512,0,16.7,22025,96,638,2362.73
8,512,0,15.5,21389,100,752,2182.78
8,256,2,14.5,13987,95,72,1592.79
8,512,3,14.8,18109,89,84,1794.73
16,1024,5,14.9,5758,85,274,1271.83
8,256,3,15.7,18545,83,26,1769.58
4,256,3,17.0,12124,81,800,1286.66
8,256,7,17.0,9560,65,55,977.33
8,256,1,14.7,19842,98,491,2031.8
8,128,4,14.4,18309,84,768,1663.08
16,256,4,14.9,14264,82,662,1668.25
16,512,3,15.4,14518,82,215,1712.33
16,256,6,15.0,9680,76,425,1232.45
16,1024,2,15.8,22219,86,495,2480.45
16,256,7,15.4,11009,73,692,1209.04
8,128,2,14.4,17243,100,386,1667.47
16,512,4,14.5,14091,83,260,1705.92
16,1024,4,14.6,10098,84,716,1514.01
8,256,6,13.4,12365,71,798,1202.87
16,256,3,13.7,11321,79,442,1424.22
8,256,2,16.1,20655,89,30,1978.23
16,512,0,14.7,22386,96,453,2335.54
16,256,2,13.9,25561,85,800,2360.26
32,256,6,15.4,7900,80,890,1436.79
32,128,0,16.2,21692,100,363,2513.59
16,256,7,14.1,14795,70,139,1425.9
16,1024,4,16.6,18374,81,517,2044.74
16,512,1,17.0,18111,95,748,2039.51
8,256,2,15.6,19072,95,850,1867.62
16,128,4,15.9,14806,82,51,1619.91
8,256,2,13.2,19246,93,265,1844.18
4,256,0,17.1,19904,99,432,1971.58
4,512,5,14.7,12732,76,92,1292.52
16,1024,5,17.0,8206,72,798,1355.13
4,1024,0,15.5,22405,92,105,2311.94
8,1024,2,13.0,19750,90,600,2128.44
8,1024,1,13.2,19518,96,827,2103.9
8,1024,5,15.9,8155,72,618,1240.51
8,128,5,15.4,15966,77,688,1465.18
16,128,5,13.1,14094,78,240,1496.46
4,256,7,16.2,7222,60,745,841.35
16,512,6,16.7,10358,69,379,1345.23
32,128,2,15.1,13898,93,59,1891.14
8,512,0,15.0,18924,100,333,2055.6
8,512,4,13.0,13187,77,318,1469.53
16,512,7,16.4,13085,69,471,1431.04
4,256,7,14.4,7481,73,242,851.49
8,256,1,16.8,22121,99,418,2111.26
32,256,1,14.6,18585,95,388,2260.88
32,1024,0,15.4,22744,98,297,2831.09
16,512,1,14.2,19776,93,628,2086.7
8,512,4,13.7,17419,84,278,1693.95
16,256,4,16.3,13196,83,690,1609.83
16,256,2,15.1,13682,94,229,1619.73
8,256,2,15.3,14254,92,779,1531.66
16,512,6,17.2,9604,76,331,1265.36
4,512,3,17.1,12853,87,41,1449.85
8,256,6,16.7,12431,76,139,1247.63
16,1024,7,13.8,8003,72,726,1296.75
8,128,2,15.6,25524,88,785,2256.81
8,1024,1,16.8,14987,88,194,1889.63
16,128,7,14.6,10011,75,543,1161.69
32,256,5,13.4,9616,79,519,1555.49
16,512,2,16.5,16920,84,124,1906.72
16,256,4,15.1,15224,79,409,1687.93
32,256,4,15.4,7824,85,626,1474.76
4,256,7,17.2,10110,67,870,1018.42
8,256,2,15.6,24109,89,763,2216.19
8,512,7,14.8,8040,74,92,997.43
4,1024,7,14.6,10179,64,217,1133.89
16,1024,1,14.8,23275,92,395,2515.11
8,256,1,13.5,19708,96,139,1831.02
8,512,4,16.4,13057,84,515,1486.31
8,256,0,16.6,15173,100,12,1763.05
8,256,2,14.2,20323,95,106,1940.75
32,256,3,14.3,16260,87,47,2091.46
4,1024,7,16.8,6362,70,269,953.33
8,1024,7,13.1,9780,67,687,1134.39
8,512,1,15.2,18449,96,163,1948.68
8,512,7,15.0,7815,69,888,965.6
16,256,0,16.0,23819,100,246,2427.74
8,512,5,13.7,8985,81,45,1149.98
4,512,6,15.9,14342,75,305,1397.89
8,256,7,14.6,5207,69,674,694.18
16,128,1,15.7,18212,92,100,1989.15
16,128,7,13.2,15169,69,69,1482.14
16,1024,0,15.0,25382,100,765,2627.54
16,256,4,15.2,15093,83,534,1666.17
16,1024,3,13.9,13778,95,312,1814.06
4,256,2,13.6,16812,89,681,1620.09
8,512,0,13.8,22220,100,760,2184.61
16,256,6,14.5,11313,77,326,1309.0
8,256,2,13.4,18127,91,507,1863.07
16,128,5,17.1,12908,87,14,1435.1
8,128,3,14.7,15957,85,278,1533.04
16,1024,2,16.5,14074,92,537,1870.36
32,256,7,17.2,7850,65,181,1416.5
16,512,0,13.3,24744,99,892,2488.75
32,256,5,15.8,8895,78,874,1521.27
16,256,5,16.7,12431,81,235,1450.15
32,512,3,15.7,14141,88,359,1982.08
8,256,2,14.8,18734,96,174,1848.23
8,1024,0,14.9,20834,100,456,2377.17
16,512,7,13.2,13832,67,115,1496.0
4,512,7,15.3,10920,79,354,1076.68
8,256,1,17.3,16265,97,501,1813.4
32,256,0,17.1,24014,97,552,2693.78
16,1024,0,13.2,19676,97,538,2252.91
8,256,0,16.0,20269,96,203,2094.92
8,128,6,14.3,12141,77,714,1233.46
8,256,7,16.9,7925,67,624,964.14
4,512,1,13.2,22879,96,679,2105.35
32,512,5,17.0,10676,77,423,1697.89
8,512,1,16.6,18343,98,803,2000.77
8,512,2,13.5,16431,88,353,1759.52
16,256,4,13.3,13103,78,726,1486.03
4,1024,5,16.6,16298,78,187,1599.32
8,256,6,13.7,13086,75,226,1267.12
16,512,0,15.3,27130,100,476,2720.56
16,128,1,16.9,27003,92,502,2476.08
32,1024,2,15.4,15308,94,672,2302.83
16,256,2,14.7,18611,88,271,1982.32
